"PVWatts Hourly PV Performance Data"
"Requested Location","Brisbane"
"Location","Lat, Lng: -27.47, 153.02"
"Latitude (DD)","-27.47"
"Longitude (DD)","153.02"
"Elevation (m)","18"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","0"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","22.6","4.1","0.2","0","22.6","0","0"
"1","1","1","0","0","22.5","3.9","0.2","0","22.5","0","0"
"1","1","2","0","0","22.3","3.8","0.2","0","22.3","0","0"
"1","1","3","0","0","22.2","3.6","0.2","0","22.2","0","0"
"1","1","4","0","0","22.3","3.6","0.2","0","0","0","0"
"1","1","5","231","33","22.9","4","0.2","24.825","23.322","71.028","52.657"
"1","1","6","682","63","23.8","4.3","0.2","198.668","26.937","552.986","517.537"
"1","1","7","40","201","24.9","4.5","0.2","202.874","28.174","663.502","624.137"
"1","1","8","20","241","26","4.5","0.2","236.969","29.813","765.068","722.104"
"1","1","9","56","360","26.5","4.5","0.2","384.41","32.672","1234.494","1174.897"
"1","1","10","939","148","28.6","4.2","0.2","999.524","45.39","3110.149","2984.09"
"1","1","11","947","154","29","4.4","0.2","1060.932","46.326","3277.628","3145.634"
"1","1","12","943","156","29","4.5","0.2","1051.035","45.935","3253.84","3122.69"
"1","1","13","933","147","28.8","4.4","0.2","969.032","44.639","3029.352","2906.156"
"1","1","14","897","138","28.3","4.4","0.2","817.322","41.68","2605.397","2497.223"
"1","1","15","836","125","27.5","4.3","0.2","609.9","37.647","1993.477","1906.986"
"1","1","16","736","104","26.4","4.1","0.2","371.168","32.69","1184.898","1127.058"
"1","1","17","544","73","25","3.8","0.2","139.01","27.311","358.996","330.421"
"1","1","18","0","8","23.9","3.5","0.2","7.415","24.02","14.115","0"
"1","1","19","0","0","23.4","3.4","0.2","0","23.4","0","0"
"1","1","20","0","0","23.3","3.2","0.2","0","23.3","0","0"
"1","1","21","0","0","23.1","2.9","0.2","0","23.1","0","0"
"1","1","22","0","0","22.8","2.5","0.2","0","22.8","0","0"
"1","1","23","0","0","22.5","2.1","0.2","0","22.5","0","0"
"1","2","0","0","0","22.3","1.8","0.2","0","22.3","0","0"
"1","2","1","0","0","22.2","1.8","0.2","0","22.2","0","0"
"1","2","2","0","0","22","2","0.2","0","22","0","0"
"1","2","3","0","0","21.7","2.2","0.2","0","21.7","0","0"
